0.1	0.8	2	308	701	0.4	1
0.2	0.8	10	291	865	0.5	1
0.3	0.8	27	265	839	0.6	1
0.4	0.7	62	236	1.256	0.8	1
0.5	0.7	121	190	1.344	0.8	1
0.6	0.6	206	146	1.574	0.8	1
0.7	0.6	285	118	1.975	0.9	1
0.8	0.5	368	92	1.846	0.9	1
0.9	0.5	431	80	2.605	0.9	1
1.0	0.4	505	69	2.586	0.9	1
0.1	0.9	2	496	866	0.4	2
0.2	0.9	11	470	1.189	0.5	2
0.3	0.9	32	447	1.351	0.7	2
0.4	0.9	84	396	1.413	0.8	2
0.5	0.8	194	312	1.804	0.9	2
0.6	0.7	341	218	2.114	0.9	2
0.7	0.6	495	157	2.275	0.9	2
0.8	0.6	626	122	3.297	0.9	2
0.9	0.5	741	102	2.924	0.9	2
0.4	0.9	87	379	836	0.7	2
0.5	0.9	202	275	1.072	0.9	2
0.6	0.8	350	177	1.196	0.9	2
0.7	0.7	492	117	1.469	1.0	2
0.8	0.6	616	85	1.718	1.0	2
0.9	0.6	734	64	1.996	1.0	2
1.0	0.5	840	54	2.231	1.0	2
0.1	0.9	2	703	771	0.2	2
0.2	0.9	12	671	913	0.4	2
0.3	0.9	36	633	976	0.6	2
0.4	0.9	105	551	1.073	0.8	2
0.5	0.9	279	390	1.316	0.9	2
0.6	1.0	537	216	1.768	0.8	2
0.7	1.0	739	138	1.945	0.7	2
0.8	1.0	912	98	2.342	0.6	2
0.9	1.0	1.063	81	2.665	0.6	2
1.0	1.0	1.207	71	2.977	0.5	2
0.1	1.0	2	893	1.074	0.2	2
0.2	0.9	12	874	1.077	0.4	2
0.3	0.9	37	824	1.124	0.6	2
0.4	0.9	108	736	1.243	0.8	2
0.5	0.9	338	482	1.664	0.9	2
0.6	0.8	626	250	2.075	1.0	2
0.7	0.7	833	161	2.591	1.0	2
0.8	0.6	993	125	2.932	1.0	2
0.9	0.6	1.149	102	3.326	1.0	2
1.0	0.5	1.307	88	3.710	1.0	2
0.1	0.8	2	282	608	0.5	1
0.2	0.8	10	262	903	0.6	1
0.3	0.8	26	240	1.042	0.7	1
0.4	0.7	56	230	1.220	0.8	1
0.5	0.7	126	177	1.203	0.8	1
0.6	0.6	203	142	1.689	0.8	1
0.7	0.5	288	122	1.904	0.8	1
0.8	0.5	351	107	2.192	0.9	1
0.9	0.4	420	95	2.752	0.9	1
1.0	0.4	500	77	2.895	0.9	1
0.1	0.9	2	467	992	0.5	2
0.2	0.9	11	445	1.180	0.6	2
0.3	0.9	35	422	1.271	0.7	2
0.4	0.9	83	374	1.464	0.8	2
0.5	0.8	191	303	1.548	0.9	2
0.6	0.7	336	226	2.434	0.9	2
0.7	0.6	448	194	2.761	0.9	2
0.8	0.6	594	142	2.951	0.9	2
0.9	0.5	689	135	3.476	0.9	2
1.0	0.5	793	116	3.914	0.9	2
0.1	0.9	2	665	1.172	0.4	2
0.2	0.9	12	649	1.191	0.6	2
0.3	0.9	38	603	1.408	0.7	2
0.4	0.9	99	545	1.545	0.8	2
0.5	0.9	256	426	2.257	0.9	2
0.6	0.8	459	315	2.695	0.9	2
0.7	0.7	665	225	3.619	1.0	2
0.8	0.6	827	185	3.980	1.0	2
0.9	0.5	999	143	4.515	1.0	2
1.0	0.5	1.136	125	4.284	1.0	2
0.1	1.0	2	855	1.318	0.4	2
0.2	1.0	12	828	1.603	0.5	2
0.3	1.0	38	787	1.633	0.7	2
0.4	0.8	105	712	2.470	0.9	2
0.5	0.9	279	557	2.488	0.9	2
0.6	0.8	536	362	3.466	1.0	2
0.7	0.7	746	255	3.811	1.0	2
0.8	0.6	898	221	4.584	1.0	2
0.9	0.6	1.053	191	4.622	1.0	2
1.0	0.5	1.211	147	5.919	1.0	2
0.1	0.8	2	304	139	0.4	1
0.2	0.8	9	288	221	0.6	1
0.3	0.8	26	262	343	0.7	1
0.4	0.7	62	241	366	0.7	1
0.5	0.7	123	195	564	0.8	1
0.6	0.6	208	145	746	0.8	1
0.7	0.6	286	120	835	0.9	1
0.8	0.5	380	88	1.027	0.8	1
0.9	0.4	448	77	1.161	0.9	1
1.0	0.4	525	67	1.184	0.9	1
0.1	0.8	2	498	136	0.4	2
0.2	0.9	11	471	207	0.6	2
0.3	0.9	32	452	337	0.7	2
0.4	0.8	84	394	571	0.8	2
0.5	0.8	191	311	778	0.9	2
0.6	0.7	200	366	1.002	0.9	2
0.7	0.6	504	160	1.288	0.9	2
0.8	0.5	639	123	1.392	0.9	2
0.9	0.5	744	98	1.615	0.9	2
1.0	0.4	858	86	1.779	0.9	2
0.1	0.9	2	692	151	0.4	2
0.2	0.9	11	658	298	0.6	2
0.3	0.9	35	636	418	0.7	2
0.4	0.9	104	556	663	0.8	2
0.5	0.8	270	429	929	0.9	2
0.6	0.7	512	278	1.281	0.9	2
0.1	0.5	1	821	158	0.4	2
0.2	0.5	6	833	314	0.4	2
0.3	0.5	18	837	510	0.5	2
0.4	0.5	47	826	785	0.6	2
0.5	0.4	162	762	1.418	0.6	2
0.6	0.4	425	538	1.783	0.6	2
0.7	0.4	615	425	2.152	0.6	2
0.8	0.3	833	285	2.949	0.7	2
0.9	0.3	989	244	3.349	0.6	2
1.0	0.3	1.154	195	3.408	0.6	2
0.1	0.6	1	313	27	0.1	1
0.2	0.6	6	302	54	0.3	1
0.3	0.5	17	297	89	0.3	1
0.4	0.5	38	286	162	0.4	1
0.5	0.5	99	235	346	0.5	1
0.6	0.5	242	138	588	0.6	1
0.7	0.4	356	81	688	0.6	1
0.8	0.4	440	55	957	0.6	1
0.9	0.3	516	41	790	0.6	1
1.0	0.3	584	33	1.230	0.6	1
0.1	0.6	2	502	21	0.2	2
0.2	0.6	8	487	63	0.3	2
0.3	0.6	20	465	125	0.4	2
0.4	0.5	45	450	307	0.4	2
0.5	0.6	171	363	573	0.6	2
0.6	0.5	378	225	832	0.6	2
0.7	0.4	537	153	861	0.6	2
0.8	0.4	680	109	1.276	0.6	2
0.9	0.3	823	65	1.607	0.6	2
1.0	0.3	898	75	1.756	0.6	2
0.1	0.7	2	706	24	0.2	2
0.2	0.7	9	665	58	0.3	2
0.3	0.6	23	643	136	0.4	2
0.4	0.6	55	626	364	0.5	2
0.5	0.6	216	512	640	0.6	2
0.6	0.5	486	348	912	0.6	2
0.7	0.4	748	218	1.519	0.6	2
0.8	0.4	945	138	1.694	0.6	2
0.9	0.4	1.101	121	2.038	0.6	2
1.0	0.3	1.262	79	1.526	0.6	2
0.1	0.7	2	874	29	0.2	2
0.2	0.7	9	844	59	0.3	2
0.3	0.6	24	816	134	0.4	2
0.4	0.6	59	779	406	0.5	2
0.5	0.6	174	689	944	0.6	2
0.6	0.5	523	455	1.459	0.6	2
0.7	0.5	786	305	1.426	0.6	2
0.8	0.4	996	185	2.161	0.6	2
0.9	0.4	1.145	179	1.832	0.6	2
1.0	0.3	1.298	123	2.296	0.6	2
0.1	0.8	2	297	145	0.4	1
0.2	0.8	9	280	207	0.5	1
0.3	0.8	25	260	325	0.7	1
0.4	0.7	54	231	385	0.7	1
0.5	0.7	99	201	539	0.8	1
0.6	0.6	164	175	678	0.8	1
0.7	0.5	259	134	834	0.8	1
0.8	0.5	321	111	973	0.9	1
0.9	0.4	399	84	915	0.9	1
1.0	0.4	452	77	1.050	0.9	1
0.1	0.9	2	475	162	0.4	2
0.2	0.9	10	464	238	0.5	2
0.3	0.9	33	416	421	0.7	2
0.4	0.8	77	381	489	0.8	2
0.5	0.8	310	315	707	0.9	2
0.6	0.7	372	229	878	0.9	2
0.7	0.6	412	201	939	0.9	2
0.8	0.6	541	151	1.273	0.9	2
0.9	0.5	657	124	1.571	0.9	2
1.0	0.5	751	107	1.494	0.9	2
0.1	0.9	2	660	189	0.4	2
0.2	0.9	11	633	266	0.6	2
0.3	0.9	35	615	460	0.7	2
0.4	0.9	96	542	542	0.8	2
0.5	0.9	229	434	855	0.9	2
0.6	0.8	451	294	1.288	0.9	2
0.7	0.7	603	257	1.234	0.9	2
0.8	0.6	794	178	1.769	1.0	2
0.9	0.5	952	140	2.007	1.0	2
1.0	0.5	1.088	126	1.974	1.0	2
0.1	0.9	2	848	165	0.4	2
0.2	0.9	12	827	278	0.6	2
0.3	0.9	37	787	533	0.7	2
0.4	0.9	106	710	663	0.8	2
0.5	0.9	275	551	937	0.9	2
0.6	0.8	512	375	1.368	1.0	2
0.7	0.7	726	244	1.779	1.0	2
0.8	0.6	885	210	2.193	1.0	2
0.9	0.6	1.040	173	2.686	1.0	2
1.0	0.5	1.180	160	2.766	1.0	2
0.1	0.8	2	265	548	0.6	1
0.2	0.8	9	260	571	0.7	1
0.3	0.9	29	210	693	0.8	1
0.4	0.8	66	197	832	0.8	1
0.5	0.7	133	157	1.194	0.8	1
0.6	0.6	202	128	1.261	0.9	1
0.7	0.6	282	98	1.658	0.9	1
0.8	0.5	349	86	1.827	0.9	1
0.9	0.5	411	75	2.000	0.9	1
1.0	0.4	498	65	1.699	0.9	1
0.1	0.9	2	465	652	0.5	2
0.2	0.9	11	432	1.004	0.7	2
0.3	0.9	35	397	811	0.8	2
0.4	0.9	86	363	1.177	0.8	2
0.5	0.8	219	271	1.003	0.9	2
0.6	0.7	362	193	1.719	0.9	2
0.7	0.6	495	144	2.071	0.9	2
0.8	0.6	620	109	2.622	0.9	2
0.9	0.5	747	98	2.646	0.9	2
1.0	0.5	850	86	3.239	0.9	2
0.1	0.9	2	665	936	0.5	2
0.2	0.9	11	634	1.093	0.6	2
0.3	0.9	36	600	1.318	0.7	2
0.4	0.9	105	516	858	0.8	2
0.5	0.8	274	403	1.832	0.9	2
0.6	0.7	525	260	2.249	0.9	2
0.7	0.7	690	207	2.361	0.9	2
0.8	0.6	887	144	3.390	0.9	2
0.9	0.5	1.027	136	4.021	0.9	2
1.0	0.5	1.177	114	4.475	0.9	2
0.1	1.0	2	828	870	0.5	2
0.2	0.9	11	811	1.583	0.6	2
0.3	0.9	37	785	1.681	0.7	2
0.4	0.9	119	700	1.728	0.8	2
0.5	0.9	313	508	1.396	0.9	2
0.6	0.8	566	337	2.956	0.9	2
0.7	0.7	746	265	3.775	1.0	2
0.8	0.6	946	178	3.668	1.0	2
0.9	0.6	1.104	158	4.911	1.0	2
1.0	0.5	1.264	128	4.560	1.0	2
0.1	0.6	1	312	626	0.5	1
0.2	0.7	8	267	696	0.7	1
0.3	0.6	17	295	869	0.6	1
0.4	0.6	47	248	954	0.7	1
0.5	0.6	129	181	929	0.7	1
0.6	0.5	1.627	124	225	0.8	1
0.7	0.5	324	86	1.737	0.8	1
0.8	0.4	392	76	2.154	0.8	1
0.9	0.4	473	70	2.544	0.8	1
1.0	0.3	549	60	2.656	0.7	1
0.1	0.8	2	474	953	0.5	2
0.2	0.8	10	459	1.028	0.6	2
0.3	0.8	26	432	1.097	0.8	2
0.4	0.7	71	383	1.296	0.8	2
0.5	0.6	185	321	1.653	0.8	2
0.6	0.6	420	162	1.993	0.8	2
0.7	0.5	518	137	2.645	0.9	2
0.8	0.5	664	97	2.587	0.8	2
0.9	0.4	778	84	3.509	0.8	2
1.0	0.4	875	82	3.917	0.8	2
0.1	0.8	2	633	904	0.5	2
0.2	0.8	10	636	1.319	0.6	2
0.3	0.8	29	629	1.445	0.7	2
0.4	0.8	68	593	1.404	0.8	2
0.5	0.8	213	473	1.815	0.8	2
0.6	0.7	520	254	2.732	0.9	2
0.7	0.6	737	195	3.390	0.8	2
0.3	0.9	34	818	767	0.6	2
0.4	0.9	92	760	1.344	0.8	2
0.5	0.9	328	485	1.210	0.9	2
0.6	0.8	601	279	1.927	0.9	2
0.7	0.7	831	166	1.766	0.9	2
0.8	0.6	976	154	2.054	0.9	2
0.9	0.6	1.143	120	3.502	0.9	2
1.0	0.5	1.286	104	2.147	0.9	2
0.1	0.9	2	246	367	0.6	1
0.2	0.8	10	235	627	0.7	1
0.3	0.8	30	218	714	0.8	1
0.4	0.8	59	205	797	0.8	1
0.5	0.7	123	158	982	0.8	1
0.6	0.6	214	116	1.136	0.8	1
0.7	0.6	278	114	1.419	0.8	1
0.8	0.5	365	81	1.501	0.9	1
0.9	0.5	425	84	1.578	0.9	1
1.0	0.4	484	88	2.066	0.9	1
0.1	0.9	2	441	702	0.6	2
0.2	0.9	11	425	803	0.7	2
0.3	0.9	34	396	790	0.8	2
0.4	0.9	94	348	1.036	0.8	2
0.5	0.8	180	291	1.389	0.9	2
0.6	0.7	375	180	1.571	0.9	2
0.7	0.6	491	145	2.253	0.9	2
0.8	0.6	603	124	2.400	0.9	2
0.9	0.5	716	114	2.905	0.9	2
1.0	0.5	831	89	2.394	0.9	2
0.1	1.0	2	636	950	0.5	2
0.2	0.9	12	621	1.170	0.6	2
0.3	0.9	37	587	760	0.7	2
0.4	0.9	102	510	1.315	0.9	2
0.5	0.9	307	354	1.677	0.9	2
0.6	0.8	497	265	2.381	0.9	2
0.7	0.7	681	200	2.149	1.0	2
0.8	0.6	845	167	2.470	1.0	2
0.9	0.5	1.007	132	3.485	1.0	2
1.0	0.5	1.152	121	4.123	1.0	2
0.1	1.0	2	823	968	0.5	2
0.2	1.0	12	809	1.143	0.6	2
0.3	1.0	40	755	1.483	0.7	2
0.4	0.9	106	686	1.636	0.9	2
0.5	0.9	295	522	2.016	0.9	2
0.6	0.8	554	313	2.373	1.0	2
0.7	0.7	756	237	1.935	1.0	2
0.8	0.6	929	177	2.981	1.0	2
0.9	0.6	1.073	153	3.372	1.0	2
1.0	0.5	1.227	135	5.016	1.0	2
0.1	0.8	2	271	97	0.7	1
0.2	0.7	9	285	190	0.6	1
0.3	0.8	28	236	278	0.8	1
0.4	0.7	61	227	314	0.8	1
0.5	0.7	126	170	479	0.8	1
0.6	0.6	208	134	528	0.9	1
0.7	0.6	278	106	799	0.9	1
0.8	0.5	364	88	962	0.9	1
0.9	0.5	421	77	1.060	0.9	1
1.0	0.4	499	81	1.213	0.9	1
0.1	0.9	2	458	135	0.6	2
0.2	0.8	10	474	217	0.6	2
0.3	0.9	35	400	309	0.8	2
0.4	0.8	445	372	85	0.8	2
0.5	0.8	215	273	620	0.9	2
0.6	0.7	373	193	708	0.9	2
0.7	0.6	510	150	1.193	0.9	2
0.8	0.5	666	124	1.271	0.8	2
0.9	0.5	747	103	1.190	0.9	2
1.0	0.5	835	94	1.811	0.9	2
0.1	0.9	2	660	125	0.6	2
0.2	0.9	12	623	218	0.7	2
0.3	0.9	36	599	259	0.8	2
0.4	0.9	102	538	514	0.8	2
0.5	0.8	286	399	739	0.9	2
0.6	0.7	510	275	1.145	0.9	2
0.7	0.6	743	168	1.550	0.9	2
0.8	0.5	874	185	1.762	0.9	2
0.9	0.5	1.056	133	2.124	0.9	2
1.0	0.5	1.189	138	1.801	0.9	2
0.1	0.9	2	852	179	0.5	2
0.2	0.9	11	838	267	0.6	2
0.3	0.9	36	819	400	0.7	2
0.4	0.9	106	727	465	0.8	2
0.5	0.8	290	556	859	0.9	2
0.6	0.8	599	299	1.386	0.9	2
0.7	0.6	770	266	1.808	0.9	2
0.8	0.6	933	197	1.290	0.9	2
0.9	0.5	1.066	173	2.474	0.9	2
1.0	0.5	1.234	148	2.829	0.9	2
0.1	0.6	1	344	208	0.5	1
0.2	0.6	6	320	224	0.6	1
0.3	0.6	19	299	339	0.7	1
0.4	0.6	43	243	454	0.8	1
0.5	0.5	111	206	553	0.8	1
0.6	0.4	159	225	808	0.7	1
0.7	0.4	315	126	1.113	0.7	1
0.8	0.4	400	87	1.346	0.7	1
0.9	0.3	490	88	1.571	0.7	1
1.0	0.3	550	59	1.774	0.7	1
0.1	0.7	1	508	158	0.6	2
0.2	0.7	8	480	516	0.7	2
0.3	0.7	24	455	489	0.7	2
0.4	0.7	63	412	531	0.7	2
0.5	0.6	183	334	871	0.8	2
0.6	0.5	402	190	1.352	0.8	2
0.7	0.4	485	205	1.555	0.7	2
0.8	0.4	667	142	1.620	0.8	2
0.9	0.4	728	132	1.464	0.8	2
1.0	0.3	821	110	2.496	0.9	2
0.1	0.8	2	690	291	0.5	2
0.2	0.8	9	643	543	0.7	2
0.3	0.8	26	620	625	0.7	2
0.4	0.7	59	624	751	0.8	2
0.5	0.7	222	473	1.026	0.8	2
0.6	0.6	423	372	1.560	0.9	2
0.7	0.5	680	218	2.156	0.9	2
0.8	0.5	871	194	2.071	0.8	2
0.9	0.4	972	185	2.532	0.8	2
1.0	0.4	1.126	157	1.988	0.8	2
0.1	0.7	2	862	389	0.5	2
0.2	0.8	9	835	492	0.6	2
0.3	0.7	25	821	567	0.6	2
0.4	0.7	67	818	599	0.8	2
0.5	0.6	185	706	1.212	0.8	2
0.6	0.6	506	428	1.896	0.8	2
0.7	0.6	669	362	2.419	0.8	2
0.8	0.4	859	300	2.691	0.8	2
0.9	0.5	958	216	2.860	0.9	2
1.0	0.4	1.194	184	3.445	0.8	2
0.1	0.4	1	382	19	0.1	1
0.2	0.4	4	359	34	0.2	1
0.3	0.5	9	336	109	0.3	1
0.4	0.5	23	317	134	0.4	1
0.5	0.5	67	270	156	0.5	1
0.6	0.5	251	134	301	0.6	1
0.7	0.5	329	100	305	0.6	1
0.8	0.4	396	85	455	0.6	1
0.9	0.4	484	56	574	0.6	1
1.0	0.3	545	54	719	0.6	1
0.1	0.5	1	499	19	0.1	2
0.2	0.5	5	523	56	0.2	2
0.3	0.5	14	477	84	0.4	2
0.4	0.5	34	462	196	0.4	2
0.5	0.5	62	447	201	0.5	2
0.6	0.5	180	415	471	0.6	2
0.7	0.5	543	141	1.070	0.6	2
0.8	0.4	654	126	1.263	0.6	2
0.9	0.4	784	89	1.468	0.6	2
1.0	0.3	898	73	1.679	0.6	2
0.1	0.5	1	652	19	0.2	2
0.2	0.5	6	654	70	0.3	2
0.3	0.5	15	618	113	0.4	2
0.4	0.5	47	597	263	0.4	2
0.5	0.5	119	552	390	0.5	2
0.6	0.5	476	323	601	0.6	2
0.7	0.5	644	276	881	0.6	2
0.8	0.4	919	150	885	0.6	2
0.9	0.4	1.085	131	1.295	0.6	2
1.0	0.4	1.213	114	1.538	0.7	2
0.1	0.5	1	788	22	0.2	2
0.2	0.6	6	718	65	0.3	2
0.3	0.5	16	810	104	0.4	2
0.4	0.6	41	756	315	0.5	2
0.5	0.5	128	705	571	0.5	2
0.6	0.5	395	593	682	0.6	2
0.7	0.5	719	322	918	0.6	2
0.8	0.4	916	268	1.447	0.7	2
0.9	0.4	1.111	208	1.615	0.7	2
1.0	0.4	1.269	140	1.918	0.7	2
0.1	0.8	2	271	126	0.6	1
0.2	0.8	9	246	187	0.7	1
0.3	0.8	25	224	283	0.8	1
0.4	0.7	56	204	350	0.9	1
0.5	0.6	149	147	512	0.8	1
0.6	0.6	202	127	585	0.9	1
0.7	0.5	286	92	772	0.9	1
0.8	0.5	366	73	637	0.9	1
0.9	0.5	393	78	1.058	0.9	1
1.0	0.4	484	72	982	0.9	1
